phrase,sentiment
Profit for the period totalled EUR 0.8 mn ,negative
Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before ,negative
Sales in Finland decreased by 10.5 % in January ,negative
Profit before taxes was EUR 4.0 mn ,negative
The Baltimore Police and Fire Pension ,negative
Finnish Scanfil ,negative
Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,negative
In Finland 's Hobby Hall 's sales decreased by 10 % ,negative
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 ,negative
In the Baltic states the company reports net sales of EUR 11.9 mn ,negative
Seven-month sales of Ragutis ,negative
Operating profit was EUR -0.1 mn ,negative
Operating profit decreased to nearly EUR 1.7 mn ,negative
Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 ,negative
YIT lodged counter claims against Neste Oil totaling some EUR25m ,negative
- Demand for fireplace products was lower than expected ,negative
The move was triggered by weak demand for forestry equipment and the uncertain market situation ,negative
The situation of coated magazine printing paper will continue to be weak ,negative
The Finnish national carrier said net loss in April through June was euro26 million ,negative
In September alone ,negative
Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 ,negative
In the building and home improvement trade ,negative
The steelmaker said that the drop in profit was explained by the continuing economic uncertainty ,negative
Operating loss totalled EUR 0.9 mn ,negative
Net sales of Kyro 's main business area ,negative
In January-June 2010 ,negative
ADP News - Feb 13 ,negative
Loss after financial items totalled EUR 9.7 mn ,negative
Operating profit totalled EUR 30.2 mn ,negative
( ADP News ) - Feb 4 ,negative
Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 ,negative
Sanoma News ' advertising sales decreased by 22 % during the year ,negative
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant ,negative
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 ,negative
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier ,negative
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 ,negative
Copper ,negative
The net sales decreased to EUR 49.8 million from EUR 59.9 million ,negative
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 ,negative
Earnings per share ( EPS ) amounted to EUR1 .37 ,negative
Operating loss totaled EUR 0.8 mn ,negative
Profitability ( EBIT % ) was 13.6 % ,negative
During the strike ,negative
However ,negative
Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month ,negative
Exports of goods fell by 59 % ,negative
Operating profit ,negative
In a separate announcement to the Helsinki stock exchange ,negative
Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,negative
The company 's profit totaled Ls 578,negative
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 ,negative
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 ,negative
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 ,negative
Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m ,negative
Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 ,negative
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 ,negative
Agricultural newspaper Maaseudun Tulevaisuus had 318,negative
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 ,negative
Sales by Seppala diminished by 6 per cent ,negative
In the building and home improvement trade ,negative
In Finland ,negative
Operating loss totalled EUR 5.2 mn ,negative
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 ,negative
20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V ,negative
However ,negative
According to CEO Matti Perkonoja of the parent company HKScan ,negative
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before ,negative
Net sales fell by 5 % from the previous accounting period ,negative
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year ,negative
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago ,negative
JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct ,negative
The OMX Helsinki index was down 0.34 pct at 8,negative
The airline estimated that the cancellation of its flights due to the closure of European airspace ,negative
Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 ,negative
Food sales totalled EUR 323.5 mn in October 2009 ,negative
In the fourth quarter of 2008 ,negative
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 ,negative
2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) ,negative
Cash flow after investments amounted to EUR45m ,negative
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 ,negative
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 ,negative
Samsung currently occupies third place and lost ground during the quarter ,negative
Prices and delivery volumes of broadband products decreased significantly in 2005 ,negative
Operating profit ,negative
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers ,negative
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres ,negative
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million ,negative
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULT,negative
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 ,negative
Cash Flow from Operations for the most recent quarter also reached a eight year low ,negative
EPS dropped to EUR0 .2 from EUR0 .3 ,negative
Profit for the period was EUR 10.9 mn ,negative
Finnish Suominen Corporation that makes wipes ,negative
Pretax loss totalled EUR 49.9 mn ,negative
The announcement pushed Freenet shares down 6.3 % ,negative
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 ,negative
Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 ,negative
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier ,negative
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 ,negative
However ,negative
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 ,negative
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 ,negative
ADP News - Apr 22 ,negative
Coca-Cola was the market leader of manufacturers with a market share of 36.9 % ,negative
Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 ,negative
Net sales of Finnish Sanoma Learning & Literature ,negative
Net sales have been eaten by the weak US dollar ,negative
Furthermore ,negative
In 2009 ,negative
Finnish Exel Composites ,negative
The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 ,negative
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 ,negative
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 ,negative
Ruukki Group calculates that it has lost EUR 4mn in the failed project ,negative
The operating margin came down to 2.4 % from 5.7 % ,negative
In July-September 2009 ,negative
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 ,negative
Sales in Finland decreased by 2.0 % ,negative
Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 ,negative
Scanfil issued a profit warning on 10 April 2006 ,negative
Profit before taxes amounted to EUR 56.5 mn ,negative
The result will also be burdened by increased fixed costs associated with operations in China ,negative
Operating profit totaled EUR 3.8 mn ,negative
Operating profit margin was 8.3 % ,negative
Operating loss totalled EUR 4.0 mn ,negative
Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 ,negative
UPM-Kymmene Corp. ,negative
Commission income decreased to EUR 3.8 mn ,negative
Subscription sales decreased slightly ,negative
Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results ,negative
Operating profit for 2009 lower than outlook published earlier ,negative
Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,negative
Operating profit totalled EUR 9.6 mn ,negative
Revenue for the quarter totaled 27.4 billion ,negative
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier ,negative
Nokia shares hit 13.21 euros on Friday ,negative
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn ,negative
Result before taxes decreased to nearly EUR 14.5 mn ,negative
Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 ,negative
Comparable operating profit totaled EUR 4.7 mn ,negative
Operating loss totalled EUR 12.7 mn ,negative
( ADP News ) - Feb 12 ,negative
In Finland ,negative
Talentum 's net sales in September were smaller than expected ,negative
Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m ,negative
Operating profit totalled EUR 9.0 mn ,negative
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 ,negative
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 ,negative
Based on the first quarter result ,negative
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period ,negative
ADPnews - Feb 5 ,negative
The currency effect had a 3.0 pct ,negative
Operating profits in the half were  0.8 m ,negative
Operating profit ,negative
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running ,negative
Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,negative
Sales of mid-strength beer decreased by 40 % ,negative
Net cash from operating activities was a negative EUR 0.3 mn ,negative
Finnish GeoSentric 's net sales decreased to EUR 939,negative
According to Finnish petrol station chain St1 's managing director Kim Wiio ,negative
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki ,negative
Net sales dropped by 6 % year-on-year to EUR 11.9 million ,negative
However ,negative
Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 ,negative
In the Baltic countries ,negative
Raute reported a loss per share of EUR0 .86 for the first half of 2009 ,negative
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 ,negative
Finnish Bank of +ï¿½land reports operating profit of EUR 2.2 mn in the first quarter of 2010 ,negative
In sales volume ,negative
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 ,negative
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 ,negative
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million ,negative
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 ,negative
Finnish shipping company Finnlines ,negative
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 ,negative
Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier ,negative
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier ,negative
In the building and home improvement trade ,negative
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy ,negative
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 ,negative
Reported operating margin was a negative 5.9 % ,negative
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 ,negative
The period 's sales dropped to EUR30 .6 m from EUR38 .3 m ,negative
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier ,negative
( ADP News ) - Jan 22 ,negative
A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 ,negative
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year ,negative
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing ,negative
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' ,negative
The period 's sales dropped to EUR 30.6 million from EUR 38.3 million ,negative
Operating profit totalled EUR 1.22 mn ,negative
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 ,negative
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million ,negative
Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit ,negative
At this growth rate ,negative
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 ,negative
Finnish Kemira 's net sales EUR decreased to EUR 1,negative
Making matters more difficult ,negative
Device volume in the area decreased by 21 % to 2.7 mn units ,negative
Last year ,negative
Earlier today ,negative
ADPnews - Aug 3 ,negative
At 1411 CET ,negative
External net sales from the printing business fell by 43.7 % ,negative
Sampo Bank 's market share of lending was 13.6 % ,negative
Therefore ,negative
In the Baltic countries ,negative
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 ,negative
HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits ,negative
Cardona slowed her vehicle ,neutral
Market data and analytics are derived from primary and secondary research ,neutral
Exel is headquartered in Mantyharju in Finland ,neutral
Tampere Science Parks is a Finnish company that owns ,neutral
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate ,neutral
Componenta has production lines for similar-sized products at Karkkila in Finland ,neutral
Le Lay succeeds Walter G++nter and will be based in Finland ,neutral
The total scope of the project is about 38,neutral
The offer price is $ 35 million ,neutral
The acquisition is expected to take place by the end of August 2007 ,neutral
After the sale ,neutral
An  of the invention ,neutral
Jensen ,neutral
As such ,neutral
The capital structure of Solidium may be complemented by other financial instruments in the future ,neutral
The company 's plant in Russia will continue to make tyres for its near markets ,neutral
Subscribers of China Unicom ,neutral
The inaugural speech will be given by Hannu Kyrolainen ,neutral
ALEXANDRIA ,neutral
Finnish food industry company L+ï¿½nnen Tehtaat is planning changes to its fish product business ,neutral
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR ,neutral
Residents access to the block is planned to be from Aleksandri Street ,neutral
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights ,neutral
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards ,neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process ,neutral
Customers include hotels and restaurants as well as wholesalers and some retailers ,neutral
In Finland ,neutral
Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share ,neutral
The donations are granted to Aalto University and the universities of Helsinki ,neutral
Metsa-Botnia will finance the payment of dividends ,neutral
The closing of the transaction is scheduled to take place on January 10 ,neutral
The company said that the results of the third quarter do not include non-recurring items ,neutral
Of the company 's net sales ,neutral
A maximum of 666,neutral
The expansion is to be finalized in the autumn of 2009 ,neutral
Viking will pay EUR 130 million for the new ship ,neutral
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades ,neutral
Koff 's market share of the volume of the market was 23.4 % ,neutral
The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong ,neutral
The value of the order is EUR 4mn ,neutral
The beers differ slightly from mainstream beers ,neutral
The size of a cider bottle will remain unchanged ,neutral
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary ,neutral
Its customers include local companies Slo Oy ,neutral
The buildings ,neutral
An EU law on the issue may be introduced around 2010 ,neutral
In the fourth quarter of 2006 ,neutral
Following the registration ,neutral
Tieto 's service is also used to send ,neutral
The value of the three-year contract is estimated at EUR40m ,neutral
The Hayward ,neutral
If Honkarakenne starts production there ,neutral
Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . ',neutral
The order was valued at USD12 .2 m,neutral
The interim report for the first quarter is published on May 8 ,neutral
Under the transaction agreement ,neutral
Marathon estimates the value of its remaining stake in Protalix at $ 27 million ,neutral
industry in Asia +ï¿½ Pakistan ,neutral
Local government commissioner of +ï¿½m+ï¿½l ,neutral
HELSINKI AFX - Salcomp ,neutral
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State ,neutral
The five-storey ,neutral
No changes in media activity were seen in October compared with September ,neutral
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving ,neutral
The company reported a profit of 800,neutral
The deal includes the entire personnel of PlanMill Oy ,neutral
Tikkurila Powder Coatings has some 50 employees at its four paint plants ,neutral
Tecnomen ,neutral
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter ,neutral
S Group 's loyal customer magazine Yhteishyv+ï¿½ came second with 1,neutral
- Profit before taxes was EUR 105.9 82.7 million ,neutral
The number of customers is one of the most important parameters in determining the price of electricity networks ,neutral
The fixed-term contract of Mr. Jarmo Ukonaho ,neutral
Its product portfolio comprises harvesters ,neutral
The increase range will vary up to 10 % ,neutral
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir ,neutral
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention ,neutral
The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing ,neutral
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons ,neutral
Registration is required ,neutral
U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom ,neutral
Vehvilainen ,neutral
ND = Not disclosed ,neutral
The final price will be specified by 14 May 2010 ,neutral
Dragonfly Love is another video shot from start to finish using the Nokia N8 ,neutral
The profit after taxes was EUR 57.7 11.1 million ,neutral
Finnish Suominen Corporation that makes wipes ,neutral
The company will propose a dividend of EUR0 .12 per share for 2008 ,neutral
UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint ,neutral
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year ,neutral
On preliminary estimate ,neutral
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj ,neutral
The sellers include 40 shareholders ,neutral
Commenting on the deal ,neutral
Since the registration of the shares subscribed in a directed share issue ,neutral
The remaining amount will be funded through debt ,neutral
POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 ,neutral
The power supplies ,neutral
Sampo Housing Loan Bank ,neutral
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories ,neutral
Prior to the transaction ,neutral
The appointments will be in force until the new CEO has been appointed ,neutral
The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board ,neutral
The total floor area of the plant expansion is 29,neutral
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher ,neutral
FinancialWire tm is not a press release service ,neutral
Customers in a wide range of industries use our stainless steel and services worldwide ,neutral
Currently the quarterly applied surcharges differ significantly from the actual market prices ,neutral
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 ,neutral
The closing of such transaction took place today ,neutral
The estimated annual value of the frame agreement is about EUR 50mn ,neutral
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET ,neutral
In today s business ,neutral
At the beginning of the subscription period on May 2 ,neutral
According to Finnish Scanfil 's founder and chairman of the board ,neutral
Tyrv+ï¿½inen is of the opinion that the airline has been repeating this for some time already ,neutral
The company did not distribute a dividend in 2005 ,neutral
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai ,neutral
Addus ' services include personal care and assistance with activities of daily living ,neutral
The company can not give up palm oil altogether ,neutral
The credit covers approximately 70 % of the ship 's price ,neutral
Last July ,neutral
The new chain has 700 discount stores and 250 supermarkets ,neutral
At the end of March 2009 ,neutral
Following the demerger ,neutral
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor ,neutral
Indigo and Somoncom serve 377,neutral
In providing managed services ,neutral
Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj ,neutral
Okmetic closed its plant in Espoo in early 2004 ,neutral
Tiimari 's registered share capital is 16,neutral
As of July 2 ,neutral
No financial or pricing details were disclosed ,neutral
Tecnomen 's solution can be used for prepaid and post-paid billing ,neutral
The dividend is payable on February 1 ,neutral
The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file ,neutral
The company serves customers in various industries ,neutral
The total investment necessary will be EUR40m ,neutral
The company designs ,neutral
According to preliminary data from Slovakia 's Statistics Office ,neutral
Stockholm ,neutral
It operates under three distinct brands : United Supermarkets ,neutral
Kemira 's partner in the project is St. Petersburg Water Works ,neutral
The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 ,neutral
It is being developed by Symbian ,neutral
The platform is based built on Intel s second-generation MID platform ,neutral
In the sinter plant ,neutral
EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs ,neutral
In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 ,neutral
ALEXANDRIA ,neutral
says Brian Burton ,neutral
The bond ,neutral
Following the issue ,neutral
The mall is part of the Baltic Pearl development project in the city of St Petersburg ,neutral
M. and a Master of Business Administration MBA ,neutral
About 36 % of this came from Aspo Chemicals ,neutral
The deal is subject to approval by the Norwegian competition authorities ,neutral
A paper mill in the central Maine town of Madison soon will have a new owner ,neutral
The order also includes start-up and commissioning services ,neutral
Closing of such transaction took place today ,neutral
The devices would be launched in the Chinese market in late 2006 ,neutral
May 29 ,neutral
The total project duration is three years and it is valued at some EUR11 .5 m,neutral
Name of Company in which holdings have been acquired : Citycon Oyj 2 ,neutral
This organization will assume the responsibility for operations in Russia ,neutral
One price category is for calls on the preferred operator 's network ,neutral
The plant is expected to enter commercial operation by mid-2009 ,neutral
The contract is worth some EUR 1 million ,neutral
Insurance policies should be simple ,neutral
The order is related to renewing the network of the telecommunications operator ,neutral
The contract will take effect in 2009 for a five or ten year period ,neutral
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com ,neutral
The duration of the contract is 37 months ,neutral
In the third quarter of 2007 ,neutral
The market share of Volkswagen passenger cars in Finland was 10.1 percent ,neutral
Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room ,neutral
The new location is n't the only change Wellmont has in store for its air transport service ,neutral
Marathon now has a 4.6 percent stake in PLX ,neutral
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares ,neutral
In accordance with the terms and conditions of Alma Media 's 2006 option program ,neutral
Of these shares 14,neutral
Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 ,neutral
The decision reflects the underutilisation of the line ,neutral
The product advisory does not apply to any other Nokia-branded battery ,neutral
Oka specialises in new construction ,neutral
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board ,neutral
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees ,neutral
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % ,neutral
According to Seikku ,neutral
Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros ,neutral
The new B shares carry the right to dividend and other shareholder rights with effect from today ,neutral
Rohwedder Group is an automotive supplies ,neutral
Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions ,neutral
This release is not an offer of securities for sale into the United States or elsewhere ,neutral
Pertti Ervi is independent from the Company and its major shareholders ,neutral
Following the move ,neutral
The 2500-passenger ferry will have dimensions of 185 m length overall ,neutral
Outotec 's scope of delivery covers the engineering ,neutral
It is a member of the OneWorld alliance ,neutral
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocatio,neutral
Sponda is a property investment company ,neutral
Lemmink+ï¿½inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s ,neutral
The contract includes software licences ,neutral
